, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h110,        2.00,        2.29,        0.00,        0.00,        0.00,        1.54,        0.00,        0.00
wk01.h111,        1.82,        2.29,        0.00,        0.00,        0.00,        1.55,        0.05,        0.00
wk01.h112,        1.59,        2.29,        0.21,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h113,        0.92,        2.29,        0.83,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h114,        0.65,        2.29,        1.18,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h115,        0.68,        2.29,        1.44,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h116,        0.96,        2.29,        1.35,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h117,        1.07,        2.29,        1.22,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h118,        0.83,        2.29,        1.31,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h119,        1.00,        2.29,        0.86,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h120,        1.24,        2.29,        0.15,        0.00,        0.00,        1.59,        0.00,        0.00
wk01.h121,        0.57,        2.29,        0.49,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h122,        0.53,        2.29,        0.32,        0.00,        0.00,        1.60,        0.00,        0.00
